epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7445,2.68541,6.95066,2.15771,0,0,0,0,1.81514,6.97559,2.23344,0,0,0
2,4.59583,4.64621,6.74687,3.35182,0,0,0,0,1.74838,7.02428,2.22899,1.50197e-05,1.50197e-05,1.50197e-05
3,6.30872,2.02784,6.11195,2.13857,0,0,0,0,1.79284,7.03354,2.2377,2.67387e-05,2.67387e-05,2.67387e-05
4,9.07425,3.29919,6.81377,2.49555,0,0,0,0,1.85489,7.02993,2.26506,3.5157e-05,3.5157e-05,3.5157e-05
5,13.1958,2.07278,7.70054,1.94939,0,0,0,0,1.98902,6.94184,2.30559,4.02747e-05,4.02747e-05,4.02747e-05
6,15.7314,2.81841,7.13812,2.00639,0,0,0,0,2.42323,6.42764,2.44209,4.20917e-05,4.20917e-05,4.20917e-05
7,17.921,2.78755,6.37386,2.40559,0,0,0,0,2.64103,6.25682,2.52546,4.06081e-05,4.06081e-05,4.06081e-05
8,19.579,3.6297,6.92662,2.45292,0,0,0,0,2.85257,6.23449,2.59555,3.58238e-05,3.58238e-05,3.58238e-05
9,21.6115,2.34282,8.34326,1.957,0,0,0,0,3.1376,6.28242,2.69567,2.77389e-05,2.77389e-05,2.77389e-05
10,23.2484,3.76893,5.61531,2.72003,0,0,0,0,3.23187,6.2757,2.73893,1.63533e-05,1.63533e-05,1.63533e-05
